"date","home.team","away.team","home.score","away.score"
2011-04-30,"La Coruna","Ath Madrid",0,1
2011-04-30,"Real Madrid","Zaragoza",2,3
2011-04-30,"Sociedad","Barcelona",2,1
2011-05-01,"Almeria","Sevilla",0,1
2011-05-01,"Levante","Sp Gijon",0,0
2011-05-01,"Malaga","Hercules",3,1
2011-05-01,"Osasuna","Valencia",1,0
2011-05-01,"Santander","Mallorca",2,0
2011-05-01,"Villarreal","Getafe",2,1
2011-05-02,"Espanol","Ath Bilbao",2,1
2011-05-07,"Ath Bilbao","Levante",3,2
2011-05-07,"Ath Madrid","Malaga",0,3
2011-05-07,"Getafe","Almeria",2,0
2011-05-07,"Hercules","Santander",2,3
2011-05-07,"Sevilla","Real Madrid",2,6
2011-05-07,"Sp Gijon","La Coruna",2,2
2011-05-07,"Valencia","Sociedad",3,0
2011-05-08,"Barcelona","Espanol",2,0
2011-05-08,"Mallorca","Villarreal",0,0
2011-05-08,"Zaragoza","Osasuna",1,3
2011-05-10,"La Coruna","Ath Bilbao",2,1
2011-05-10,"Malaga","Sp Gijon",2,0
2011-05-10,"Real Madrid","Getafe",4,0
2011-05-10,"Santander","Ath Madrid",2,1
2011-05-11,"Almeria","Villarreal",0,0
2011-05-11,"Espanol","Valencia",2,2
2011-05-11,"Hercules","Mallorca",2,2
2011-05-11,"Levante","Barcelona",1,1
2011-05-11,"Osasuna","Sevilla",3,2
2011-05-11,"Sociedad","Zaragoza",2,1
2011-05-15,"Almeria","Mallorca",3,1
2011-05-15,"Ath Bilbao","Malaga",1,1
2011-05-15,"Ath Madrid","Hercules",2,1
2011-05-15,"Barcelona","La Coruna",0,0
2011-05-15,"Getafe","Osasuna",2,0
2011-05-15,"Sevilla","Sociedad",3,1
2011-05-15,"Sp Gijon","Santander",2,1
2011-05-15,"Valencia","Levante",0,0
2011-05-15,"Villarreal","Real Madrid",1,3
2011-05-15,"Zaragoza","Espanol",1,0
2011-05-21,"Espanol","Sevilla",2,3
2011-05-21,"Hercules","Sp Gijon",0,0
2011-05-21,"La Coruna","Valencia",0,2
2011-05-21,"Levante","Zaragoza",1,2
2011-05-21,"Malaga","Barcelona",1,3
2011-05-21,"Mallorca","Ath Madrid",3,4
2011-05-21,"Osasuna","Villarreal",1,0
2011-05-21,"Real Madrid","Almeria",8,1
2011-05-21,"Santander","Ath Bilbao",1,2
2011-05-21,"Sociedad","Getafe",1,1
2011-08-27,"Granada","Betis",0,1
2011-08-27,"Sp Gijon","Sociedad",1,2
2011-08-27,"Valencia","Santander",4,3
2011-08-28,"Ath Bilbao","Vallecano",1,1
2011-08-28,"Ath Madrid","Osasuna",0,0
2011-08-28,"Getafe","Levante",1,1
2011-08-28,"Mallorca","Espanol",1,0
2011-08-28,"Sevilla","Malaga",2,1
2011-08-28,"Zaragoza","Real Madrid",0,6
2011-08-29,"Barcelona","Villarreal",5,0
2011-09-10,"Real Madrid","Getafe",4,2
2011-09-10,"Sociedad","Barcelona",2,2
2011-09-10,"Valencia","Ath Madrid",1,0
2011-09-10,"Villarreal","Sevilla",2,2
2011-09-11,"Betis","Mallorca",1,0
2011-09-11,"Espanol","Ath Bilbao",2,1
2011-09-11,"Osasuna","Sp Gijon",2,1
2011-09-11,"Santander","Levante",0,0
2011-09-11,"Vallecano","Zaragoza",0,0
2011-09-12,"Malaga","Granada",4,0
2011-09-17,"Barcelona","Osasuna",8,0
2011-09-17,"Granada","Villarreal",1,0
2011-09-17,"Mallorca","Malaga",0,1
